id,account_id,property_id,description,category,date,time,amount
1,1,1,depósito inicial,caja chica,"""2022-12-01""","""10:53:19""","10,000.00"
2,1,1,pintado de paredes,servicios,"""2022-12-10""","""14:06:44""","-2,000.00"
3,1,1,acondicionamiento tuberías,servicios,"""2022-12-12""","""16:43:11""","-3,000.00"
4,1,1,limpieza geneal,limpieza,"""2022-12-28""","""11:20:35""","-1,500"
5,1,1,consumo de electricidad,luz,"""2023-01-23""","""12:19:07""",-750.45
6,1,1,consumo de agua,agua,"""2023-01-24""","""09:48:59""",-200.2
7,1,1,consumo de gas,gas,"""2023-01-24""","""15:32:25""",-210.75
8,1,1,servicio de limpieza,limpieza,"""2023-01-25""","""10:29:02""",-200
9,1,1,servicio de cerrajeria,cerrajeria,"""2023-01-26""","""17:10:41""",-225
10,1,1,servicio de gasfiteria,gasfiteria,"""2023-01-30""","""13:07:18""",-270
11,1,1,servicio de electricista,mantenimiento,"""2023-01-29""","""16:21:53""",-310
12,1,1,1 - 1,comunidad,"""2023-01-31""","""14:48:29""",120
13,1,1,1 - 2,comunidad,"""2023-01-02""","""11:56:09""",120
14,1,1,1 - 3,comunidad,"""2023-01-03""","""10:04:38""",120
15,1,1,1 - 4,comunidad,"""2023-01-04""","""13:50:56""",120
16,1,1,2 - 5,comunidad,"""2023-01-05""","""09:36:47""",120
17,1,1,2 - 6,comunidad,"""2023-01-06""","""12:53:20""",120
18,1,1,2 - 7,comunidad,"""2023-01-07""","""17:26:39""",120
19,1,1,2 - 8,comunidad,"""2023-01-08""","""15:55:01""",120
20,1,1,3 - 9,comunidad,"""2023-01-09""","""10:17:29""",120
21,1,1,3 - 10,comunidad,"""2023-01-10""","""16:05:49""",120
22,1,1,3 - 11,comunidad,"""2023-01-11""","""11:43:30""",120
23,1,1,3 - 12,comunidad,"""2023-01-12""","""14:25:51""",120
24,1,1,4 - 13,comunidad,"""2023-01-13""","""09:57:34""",140
25,1,1,4 - 14,comunidad,"""2023-01-14""","""13:32:10""",140
26,1,1,4 - 15,comunidad,"""2023-01-15""","""12:41:02""",140
27,1,1,4 - 16,comunidad,"""2023-01-16""","""15:19:31""",140
28,1,1,consumo de electricidad,luz,"""2023-02-10""","""10:46:11""",-750.68
29,1,1,consumo de agua,agua,"""2023-02-10""","""16:30:37""",-210.87
30,1,1,consumo de gas,gas,"""2023-02-10""","""11:09:22""",-220.23
31,1,1,servicio de limpieza,limpieza,"""2023-02-11""","""17:55:49""",-200
32,1,1,reparacion de ascensor,mantenimiento,"""2023-02-11""","""09:25:03""",-980
33,1,1,1 - 1,comunidad,"""2023-02-12""","""14:14:24""",120
34,1,1,1 - 2,comunidad,"""2023-02-12""","""12:32:58""",120
35,1,1,1 - 3,comunidad,"""2023-02-13""","""15:08:20""",120
36,1,1,1 - 4,comunidad,"""2023-02-14""","""10:02:39""",120
37,1,1,2 - 5,comunidad,"""2023-02-14""","""16:15:05""",120
38,1,1,2 - 6,comunidad,"""2023-02-15""","""11:39:14""",120
39,1,1,2 - 7,comunidad,"""2023-02-16""","""13:54:53""",120
40,1,1,2 - 8,comunidad,"""2023-02-17""","""09:42:19""",120
41,1,1,3 - 9,comunidad,"""2023-02-17""","""17:40:35""",120
42,1,1,3 - 10,comunidad,"""2023-02-18""","""14:36:21""",120
43,1,1,3 - 11,comunidad,"""2023-02-19""","""12:59:06""",120
44,1,1,3 - 12,comunidad,"""2023-02-20""","""15:44:16""",120
45,1,1,4 - 13,comunidad,"""2023-02-21""","""10:22:47""",140
46,1,1,4 - 14,comunidad,"""2023-02-22""","""16:52:12""",140
47,1,1,4 - 15,comunidad,"""2023-02-23""","""11:29:02""",140
48,1,1,4 - 16,comunidad,"""2023-02-24""","""13:16:18""",140
49,1,1,consumo de electricidad,luz,"""2023-03-06""","""09:51:34""",-770.32
50,1,1,consumo de agua,agua,"""2023-03-07""","""14:03:11""",-210.2
51,1,1,consumo de gas,gas,"""2023-03-08""","""17:15:39""",-220.75
52,1,1,servicio de limpieza,limpieza,"""2023-03-09""","""12:23:59""",-200
53,1,1,servicio de fumigación,fumigacion,"""2023-03-10""","""15:03:25""",-200
54,1,1,1 - 1,comunidad,"""2023-03-13""","""10:35:49""",120
55,1,1,1 - 2,comunidad,"""2023-03-14""","""16:26:33""",120
56,1,1,1 - 3,comunidad,"""2023-03-15""","""11:48:07""",120
57,1,1,1 - 4,comunidad,"""2023-03-16""","""13:43:56""",120
58,1,1,2 - 5,comunidad,"""2023-03-17""","""09:34:28""",120
59,1,1,2 - 6,comunidad,"""2023-03-20""","""14:17:02""",120
60,1,1,2 - 7,comunidad,"""2023-03-21""","""17:33:44""",120
61,1,1,2 - 8,comunidad,"""2023-03-22""","""12:47:29""",120
62,1,1,3 - 9,comunidad,"""2023-03-23""","""15:24:13""",120
63,1,1,3 - 10,comunidad,"""2023-03-24""","""10:12:47""",120
64,1,1,3 - 11,comunidad,"""2023-03-27""","""16:04:01""",120
65,1,1,3 - 12,comunidad,"""2023-03-28""","""11:54:32""",120
66,1,1,4 - 13,comunidad,"""2023-03-29""","""13:26:05""",140
67,1,1,4 - 14,comunidad,"""2023-03-30""","""09:45:51""",140
68,1,1,4 - 15,comunidad,"""2023-03-31""","""14:09:30""",140
69,1,1,4 - 16,comunidad,"""2023-03-31""","""17:27:02""",140
70,1,1,consumo de electricidad,luz,"""2023-04-06""","""12:50:36""",-800.77
71,1,1,consumo de agua,agua,"""2023-04-07""","""15:41:23""",-210.15
72,1,1,consumo de gas,gas,"""2023-04-10""","""10:27:57""",-200.93
73,1,1,servicio de limpieza,limpieza,"""2023-04-11""","""16:19:32""",-200
74,1,1,reparación de tuberías,gasfiteria,"""2023-04-12""","""11:58:14""",-200
75,1,1,mantenimiento ascensor,ascensor,"""2023-04-13""","""13:38:40""",-300
76,1,1,cambio de bombillas,electricista,"""2023-04-14""","""09:37:23""",-100
77,1,1,1 - 1,comunidad,"""2023-04-17""","""14:02:59""",120
78,1,1,1 - 2,comunidad,"""2023-04-18""","""17:16:37""",120
79,1,1,1 - 3,comunidad,"""2023-04-19""","""12:56:14""",120
80,1,1,1 - 4,comunidad,"""2023-04-20""","""15:29:01""",120
81,1,1,2 - 5,comunidad,"""2023-04-21""","""10:08:42""",120
82,1,1,2 - 6,comunidad,"""2023-04-24""","""16:01:30""",120
83,1,1,2 - 7,comunidad,"""2023-04-25""","""11:46:07""",120
84,1,1,2 - 8,comunidad,"""2023-04-26""","""13:21:51""",120
85,1,1,3 - 9,comunidad,"""2023-04-27""","""09:43:29""",120
86,1,1,3 - 10,comunidad,"""2023-04-28""","""14:20:09""",120
87,1,1,3 - 11,comunidad,"""2023-04-21""","""17:34:56""",120
88,1,1,3 - 12,comunidad,"""2023-04-24""","""12:43:37""",120
89,1,1,4 - 13,comunidad,"""2023-04-25""","""15:12:16""",140
90,1,1,4 - 14,comunidad,"""2023-04-26""","""10:33:04""",140
