id,account_id,property_id,description,category,date,time,amount,building_id,property_due,due_date
10000,2,,depósito inicial,caja chica,"""2022-12-01""","""10:53:19""","10,000.00",2,,
10001,2,,pintado de paredes,servicios,"""2022-12-10""","""14:06:44""","-2,000.00",2,,
10002,2,,acondicionamiento tuberías,servicios,"""2022-12-12""","""16:43:11""","-3,000.00",2,,
10003,2,,limpieza geneal,limpieza,"""2022-12-28""","""11:20:35""","-1,500",2,,
10004,2,,consumo de electricidad,luz,"""2023-01-23""","""12:19:07""",-750.45,2,,
10005,2,,consumo de agua,agua,"""2023-01-24""","""09:48:59""",-200.2,2,,
10006,2,,consumo de gas,gas,"""2023-01-24""","""15:32:25""",-210.75,2,,
10007,2,,servicio de limpieza,limpieza,"""2023-01-25""","""10:29:02""",-200,2,,
10008,2,,servicio de cerrajeria,cerrajeria,"""2023-01-26""","""17:10:41""",-225,2,,
10009,2,,servicio de gasfiteria,gasfiteria,"""2023-01-30""","""13:07:18""",-270,2,,
10010,2,,servicio de electricista,mantenimiento,"""2023-01-29""","""16:21:53""",-310,2,,
10011,2,17,1A,comunidad,"""2023-01-31""","""14:48:29""",123.6,2,123.6,"""2023-01-31"""
10012,2,18,1B,comunidad,"""2023-01-02""","""11:56:09""",123.6,2,123.6,"""2023-01-31"""
10013,2,19,1C,comunidad,"""2023-01-03""","""10:04:38""",123.6,2,123.6,"""2023-01-31"""
10014,2,20,1D,comunidad,"""2023-01-04""","""13:50:56""",123.6,2,123.6,"""2023-01-31"""
10015,2,21,2A,comunidad,"""2023-01-05""","""09:36:47""",123.6,2,123.6,"""2023-01-31"""
10016,2,22,2B,comunidad,"""2023-01-06""","""12:53:20""",123.6,2,123.6,"""2023-01-31"""
10017,2,23,2C,comunidad,"""2023-01-07""","""17:26:39""",123.6,2,123.6,"""2023-01-31"""
10018,2,24,2D,comunidad,"""2023-01-08""","""15:55:01""",123.6,2,123.6,"""2023-01-31"""
10019,2,25,3A,comunidad,"""2023-01-09""","""10:17:29""",123.6,2,123.6,"""2023-01-31"""
10020,2,26,3B,comunidad,"""2023-01-10""","""16:05:49""",123.6,2,123.6,"""2023-01-31"""
10021,2,27,3C,comunidad,"""2023-01-11""","""11:43:30""",123.6,2,123.6,"""2023-01-31"""
10022,2,28,3D,comunidad,"""2023-01-12""","""14:25:51""",123.6,2,123.6,"""2023-01-31"""
10023,2,29,4A,comunidad,"""2023-01-13""","""09:57:34""",123.6,2,123.6,"""2023-01-31"""
10024,2,30,4B,comunidad,"""2023-01-14""","""13:32:10""",123.6,2,123.6,"""2023-01-31"""
